date,time,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,unique_key,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2015-06-22 00:00:00+00,18:40:00,,,,,,,KINGS PLAZA PARKING GARAGE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3245001,SPORT UTILITY / STATION WAGON,,,,
2015-06-22 00:00:00+00,15:00:00,,,,,HORACE HARDING EXPRESSWAY,99 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3245434,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2015-06-22 00:00:00+00,13:20:00,,,,,,,2475 FLATBUSH AVENUE(PARKING LOT),0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3245003,OTHER,PASSENGER VEHICLE,,,
2015-06-22 00:00:00+00,11:00:00,BROOKLYN,11221,40.695357,-73.9323657,SUYDAM STREET,BROADWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3244382,OTHER,OTHER,,,
2015-06-21 00:00:00+00,10:21:00,,,,,37 AVENUE,147 PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3243177,UNKNOWN,PASSENGER VEHICLE,,,
2015-06-21 00:00:00+00,03:15:00,,,,,QUEENS BOULEVARD,32 PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3243162,OTHER,TAXI,,,
2015-06-21 00:00:00+00,12:29:00,BROOKLYN,11212,40.6631059,-73.9051739,STONE AVENUE,LIVONIA AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3242958,PASSENGER VEHICLE,OTHER,,,
2015-06-18 00:00:00+00,08:15:00,,,,,,,PL OF RICHMOND AVE AND AKRON AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3242182,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2015-06-21 00:00:00+00,03:30:00,,,,,WEST 155 STREET,MACOMBS PLACE,,5,0,0,0,0,0,5,0,Unspecified,Unspecified,Unspecified,,,3244790,PASSENGER VEHICLE,TAXI,PASSENGER VEHICLE,,
2015-06-21 00:00:00+00,05:15:00,QUEENS,11432,40.7124755,-73.7905087,KINGSTON PLACE,CEDARCROFT ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3243154,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
2015-06-21 00:00:00+00,16:30:00,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3244169,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2015-06-20 00:00:00+00,23:03:00,MANHATTAN,10036,40.7585332,-73.9888427,WEST 44 STREET,8 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3242735,LIVERY VEHICLE,BICYCLE,,,
2015-06-20 00:00:00+00,05:45:00,BROOKLYN,11211,40.7113256,-73.9472431,GRAND STREET,LEONARD STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3242523,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-20 00:00:00+00,09:00:00,,,,,,,P/L OF 15 GIFFORDS LANE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3244617,PASSENGER VEHICLE,UNKNOWN,,,
2015-06-20 00:00:00+00,12:15:00,MANHATTAN,10002,40.7138434,-73.9927243,PIKE STREET,EAST BROADWAY,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3242700,BUS,LIVERY VEHICLE,,,
2015-06-11 00:00:00+00,15:00:00,,,,,85 ROAD,101 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3238219,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2015-06-17 00:00:00+00,06:18:00,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3243557,SPORT UTILITY / STATION WAGON,,,,
2015-06-20 00:00:00+00,20:42:00,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3242696,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
2015-06-20 00:00:00+00,10:40:00,,,,,ROCKAWAY BOULEVARD,BROOKVILLE BOULEVARD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3243121,BUS,PASSENGER VEHICLE,,,
2015-06-20 00:00:00+00,16:08:00,,,,,,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3244882,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
2015-06-19 00:00:00+00,08:20:00,,,,,RIVERSIDE DRIVE,WEST 158 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3243423,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-19 00:00:00+00,17:00:00,,,,,FARMERS BOULEVARD,119 ROAD,,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,3243892,UNKNOWN,UNKNOWN,,,
2015-06-19 00:00:00+00,00:30:00,MANHATTAN,10007,40.7119934,-74.0081015,BROADWAY,BARCLAY STREET,,0,0,0,0,0,0,0,0,Illness,Unspecified,,,,3242205,PASSENGER VEHICLE,BUS,,,
2015-06-19 00:00:00+00,10:58:00,,,,,3 AVENUE,90 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3243560,SPORT UTILITY / STATION WAGON,LIVERY VEHICLE,,,
2015-06-19 00:00:00+00,11:19:00,BROOKLYN,11219,40.638247,-73.9959429,11 AVENUE,48 STREET,,1,0,0,0,0,0,1,0,Unspecified,,,,,3242437,PASSENGER VEHICLE,,,,
