time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-10-16T18:51:39.100Z,19.4241,-65.0459,17,2.6,Md,4,309.6,1.06899519,0.28,pr,pr16290003,2016-10-16T20:27:43.751Z,"120km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,9.4,18.7,0,2,reviewed,pr,pr
2016-10-16T18:37:16.900Z,19.4687,-68.1924,13,3,Md,4,248.4,0.96568893,0.87,pr,pr16290002,2016-10-16T20:10:21.475Z,"100km NNE of Punta Cana, Dominican Republic",earthquake,8,13.1,0,3,reviewed,pr,pr
2016-10-16T17:45:59.230Z,10.7762,-71.6915,35,4.3,mb,,95,2.149,1.38,us,us20007em1,2016-10-16T23:25:45.189Z,"8km ESE of Concepcion, Venezuela",earthquake,6,2,0.53,1,reviewed,us,us
2016-10-16T17:40:42.700Z,19.385,-64.8099,72,2.9,Md,4,313.2,1.03665584,0.1,pr,pr16290001,2016-10-16T19:43:13.478Z,"109km N of Road Town, British Virgin Islands",earthquake,5.7,10.5,0,3,reviewed,pr,pr
2016-10-16T17:22:11.000Z,63.3139,-150.5485,126,2.5,ml,,,,0.62,ak,ak14220114,2016-10-16T18:18:14.901Z,"80km W of Cantwell, Alaska",earthquake,0.3,0.7,,,automatic,ak,ak
2016-10-16T16:44:04.270Z,39.77,20.6323,7.18,4.5,mb,,86,0.647,1.21,us,us20007els,2016-10-16T17:04:16.040Z,"10km NW of Rodotopion, Greece",earthquake,5.1,8.2,0.221,6,reviewed,us,us
2016-10-16T16:33:54.000Z,60.1592,-153.0931,132.3,2.5,ml,,,,0.5,ak,ak14219602,2016-10-16T17:33:50.265Z,"41km SSW of Redoubt Volcano, Alaska",earthquake,0.8,0.7,,,automatic,ak,ak
2016-10-16T15:47:54.210Z,39.744,20.7218,11.36,4.1,mb,,67,0.714,0.68,us,us20007elg,2016-10-16T16:27:06.040Z,"3km N of Rodotopion, Greece",earthquake,5.1,7,0.214,6,reviewed,us,us
2016-10-16T14:24:38.000Z,61.1145,-139.9874,0,3.3,ml,,,,0.69,ak,ak14218576,2016-10-16T15:21:01.872Z,"140km WNW of Haines Junction, Canada",earthquake,0.3,0.3,,,automatic,ak,ak
2016-10-16T14:19:23.710Z,36.2488,70.7774,109.61,4.1,mb,,99,1.461,0.67,us,us20007ela,2016-10-16T15:39:16.040Z,"24km N of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,8.4,10.7,0.198,7,reviewed,us,us
2016-10-16T14:11:25.790Z,40.8673,30.9044,10,4.3,mb,,88,0.454,1.16,us,us20007el8,2016-10-16T15:14:57.040Z,"3km W of Cumayeri, Turkey",earthquake,4.7,2,0.265,4,reviewed,us,us
2016-10-16T13:18:01.850Z,39.7827,20.6654,10,4.3,mb,,76,0.673,1.19,us,us20007el3,2016-10-16T16:31:03.040Z,"9km NNW of Rodotopion, Greece",earthquake,4.8,1.9,0.201,7,reviewed,us,us
2016-10-16T13:04:26.630Z,-7.0074,-80.1222,40.29,5,mb,,70,3.437,0.78,us,us20007eky,2016-10-16T18:03:25.343Z,"28km SW of Pimentel, Peru",earthquake,7.6,5.7,0.042,184,reviewed,us,us
